Activity name,Description,Bike,Begin timestamp,Duration (h:m:s),Moving duration (h:m:s),Distance (km),Average speed (km/h),Average moving speed (km/h),Max. speed (km/h),Elevation loss uncorrected (m),Elevation gain uncorrected (m),Elevation min. uncorrected (m),Elevation max. uncorrected (m),Min. heart rate (bpm),Max. heart rate (bpm),Average heart rate (bpm),Calories,Avg. cadence (rpm),Max. cadence (rpm),Strokes,Avg. temp (°C),Min. temp (°C),Max. temp (°C),Map,End timestamp,Begin timestamp (ms),End timestamp (ms),Device,Activity type,Event type,Time zone,Begin latitude (°DD),Begin longitude (°DD),End latitude (°DD),End longitude (°DD),Elevation gain corrected (m),Elevation loss corrected (m),Elevation max. corrected (m),Elevation min. corrected (m),Sample count
"Paris Course",,Asics Cumulus 18,"2020-05-28T13:53:30.0",00:59:59,00:59:33,10.00671,10.007999897003174,10.081176283825533,12.463199615478516,43.0,49.0,74.8,97.6,,177.0,165.0,734.0,,,,,,,"https://connect.garmin.com/modern/activity/5002233537",,,,vívoactive HR 5.10.0.0,Running,Uncategorized,Europe/Paris,48.83594169281423,2.3767545260488987,48.847289783880115,2.3860634677112103,,,,,236,
"Paris Course à pied",,Asics Cumulus 18,"2020-02-25T08:52:18.0",00:40:52,00:40:34,8.17036,11.995200061798096,12.082994464348861,13.636800384521484,26.0,34.0,128.4,151.6,,183.0,168.0,515.0,,,,,,,"https://connect.garmin.com/modern/activity/4588563454",,,,vívoactive HR 5.10.0.0,Running,Uncategorized,Europe/Paris,48.84119521826506,2.3889972176402807,48.84450187906623,2.3816581908613443,,,,,192,
"Paris Course à pied",,Asics Cumulus 18,"2020-02-08T12:57:11.0",01:47:03,01:47:00,20.00544,11.21040029525757,11.217411235825084,12.93120002746582,62.0,64.0,80.8,109.2,,189.0,168.0,1342.0,,,,,,,"https://connect.garmin.com/modern/activity/4527668151",,,,vívoactive HR 5.10.0.0,Running,Uncategorized,Europe/Paris,48.837609523907304,2.441111281514168,48.84610961191356,2.3863160144537687,,,,,260,
"Paris Course à pied",,Asics Cumulus 18,"2020-02-01T09:56:54.0",00:43:25,00:42:29,8.02202,11.314799594879153,11.329060931027605,12.394800281524658,46.0,18.0,47.6,76.0,,185.0,164.0,512.0,,,,,,,"https://connect.garmin.com/modern/activity/4503081313",,,,vívoactive HR 5.10.0.0,Running,Uncategorized,Europe/Paris,48.84174448437989,2.3903378192335367,48.84633047506213,2.385639511048794,,,,,182,
"Paris Course à pied",,Asics Cumulus 18,"2019-10-13T11:15:58.0",01:12:06,01:12:05,12.49417,10.39680004119873,10.39854293768241,13.83840036392212,45.0,31.0,79.6,97.6,,184.0,173.0,950.0,,,,,,,"https://connect.garmin.com/modern/activity/4152352339",,,,vívoactive HR 5.10.0.0,Running,Uncategorized,Europe/Paris,48.85155323892832,2.2418451122939587,48.85938763618469,2.2939892672002316,,,,,237,
"Paris Course à pied",,Asics Cumulus 18,"2019-10-13T10:40:24.0",00:35:12,00:35:12,7.48589,12.754799938201904,12.759556954712995,15.922799491882325,19.0,31.0,51.8,78.8,,185.0,173.0,475.0,,,,,,,"https://connect.garmin.com/modern/activity/4151952992",,,,vívoactive HR 5.10.0.0,Running,Uncategorized,Europe/Paris,48.86081758886576,2.2914229799062014,48.85230970568955,2.241883585229516,,,,,227,
"Savines-le-Lac Marche à pied",,,"2019-08-21T09:09:07.0",02:24:39,02:00:41,7.38835,3.063600039482117,3.673257885866938,7.2540003776550295,514.0,512.0,803.4,1304.8,,168.0,127.0,869.0,,,,,,,"https://connect.garmin.com/modern/activity/3976410646",,,,vívoactive HR 5.10.0.0,Walking,Uncategorized,Europe/Paris,44.524930911138654,6.4004200883209705,44.52345108613372,6.397777525708079,,,,,253,
"Baratier Marche à pied",,,"2019-08-19T10:14:20.0",02:15:51,01:41:21,6.52284,3.1679999828338623,3.861572675135669,6.0479998111724855,327.0,317.0,873.4,1197.6,,166.0,118.0,715.0,,,,,,,"https://connect.garmin.com/modern/activity/3976408962",,,,vívoactive HR 5.10.0.0,Walking,Uncategorized,Europe/Paris,44.51911269687116,6.4958639815449715,44.520884128287435,6.494248453527689,,,,,252,
"Embrun Marche à pied",,,"2019-08-18T11:01:31.0",03:36:44,01:41:46,12.04012,3.333599996566773,7.097547637780801,64.49400329589844,164.0,161.0,818.2,902.4,,151.0,89.0,798.0,,,,,,,"https://connect.garmin.com/modern/activity/3965817571",,,,vívoactive HR 5.10.0.0,Walking,Uncategorized,Europe/Paris,44.56171866506338,6.49192214012146,44.53753150999546,6.484227888286114,,,,,252,
"Saint-Clément-des-Baleines Cyclisme",,,"2019-07-25T16:51:39.0",01:27:40,01:07:20,20.28632,13.881599807739258,18.076919090346536,29.35799903869629,26.0,27.0,48.4,62.8,,166.0,140.0,727.0,,,,,,,"https://connect.garmin.com/modern/activity/3937854462",,,,vívoactive HR 5.10.0.0,Cycling,Uncategorized,Europe/Paris,46.234208922833204,-1.5399665012955666,46.20438342913985,-1.3531338796019554,,,,,222,
